,sub_name,fiber,exp_name,dataset_name,Reconstruction accuracy (r)
170,139233,AF,HCP1200,HCP,0.8449952884796552
171,139435,AF,HCP1200,HCP,0.8798673425602385
172,139637,AF,HCP1200,HCP,0.8413704766742991
173,139839,AF,HCP1200,HCP,0.8821796917442402
174,140117,AF,HCP1200,HCP,0.8365216921819288
175,140824,AF,HCP1200,HCP,0.8432202697765151
176,140925,AF,HCP1200,HCP,0.8537689942599916
177,141119,AF,HCP1200,HCP,0.8855424106288725
178,141422,AF,HCP1200,HCP,0.8574260845875445
179,141826,AF,HCP1200,HCP,0.8671209515071412
180,142828,AF,HCP1200,HCP,0.8643657216419662
181,143224,AF,HCP1200,HCP,0.8605501500123701
182,143325,AF,HCP1200,HCP,0.8618895444169203
183,143830,AF,HCP1200,HCP,0.8809107448147354
184,144125,AF,HCP1200,HCP,0.8800521227003028
185,144428,AF,HCP1200,HCP,0.8798743528094015
186,144832,AF,HCP1200,HCP,0.8380303059873613
187,144933,AF,HCP1200,HCP,0.8634014499425536
188,145127,AF,HCP1200,HCP,0.8572473531076459
189,145632,AF,HCP1200,HCP,0.8818056853810696
190,145834,AF,HCP1200,HCP,0.8544550089546192
191,146129,AF,HCP1200,HCP,0.8285448544341596
192,146331,AF,HCP1200,HCP,0.8698035805352039
193,146432,AF,HCP1200,HCP,0.8703629390681504
194,146533,AF,HCP1200,HCP,0.8767149170338567
195,146735,AF,HCP1200,HCP,0.8773437356230946
196,146836,AF,HCP1200,HCP,0.8513063881555752
197,146937,AF,HCP1200,HCP,0.8275034286585928
198,147636,AF,HCP1200,HCP,0.8659643292682874
199,147737,AF,HCP1200,HCP,0.8722736551234334
200,148032,AF,HCP1200,HCP,0.8676345822564917
201,148133,AF,HCP1200,HCP,0.8730980002497806
202,148335,AF,HCP1200,HCP,0.8746879533829648
203,148436,AF,HCP1200,HCP,0.8725146201589266
204,148840,AF,HCP1200,HCP,0.8516542998536095
205,148941,AF,HCP1200,HCP,0.8825476900825114
206,149236,AF,HCP1200,HCP,0.8569392056936029
207,149337,AF,HCP1200,HCP,0.8633805327185997
208,149539,AF,HCP1200,HCP,0.8586046017412808
209,149741,AF,HCP1200,HCP,0.8687746487239265
210,149842,AF,HCP1200,HCP,0.8655012908454683
211,150625,AF,HCP1200,HCP,0.8543217285667379
212,150726,AF,HCP1200,HCP,0.8551286436099195
213,150928,AF,HCP1200,HCP,0.8799651915766608
214,151223,AF,HCP1200,HCP,0.8663925669167573
215,151324,AF,HCP1200,HCP,0.8312003065553701
216,151425,AF,HCP1200,HCP,0.8746455259425511
217,151526,AF,HCP1200,HCP,0.8258563478708754
