,corr,exp,surid
379,0.07080394221775714,Brainsmash,189
380,0.26790309103178234,Breakspear,190
381,-0.06634238700003539,Brainsmash,190
382,-0.03721387600849275,Breakspear,191
383,0.06357439461025864,Brainsmash,191
384,-0.10091061630405254,Breakspear,192
385,0.02680736615169693,Brainsmash,192
386,-0.1347608400311868,Breakspear,193
387,-0.025609928381092918,Brainsmash,193
388,-0.11881288624270764,Breakspear,194
389,0.045841417424407574,Brainsmash,194
390,-0.16674119410514315,Breakspear,195
391,-0.09523274326904324,Brainsmash,195
392,-0.11464423309752586,Breakspear,196
393,0.078225286944187,Brainsmash,196
394,-0.07785531999349463,Breakspear,197
395,-0.07032039658503376,Brainsmash,197
396,-0.1741907369694646,Breakspear,198
397,0.11053703027213231,Brainsmash,198
398,0.1322127793792367,Breakspear,199
399,-0.044276443948189394,Brainsmash,199
400,0.21591112326169545,Breakspear,200
401,-0.009904940148095766,Brainsmash,200
402,-0.14077022126464764,Breakspear,201
403,0.0270988296071609,Brainsmash,201
404,0.11501662643169008,Breakspear,202
405,0.030288554012597696,Brainsmash,202
406,-0.15946999720595814,Breakspear,203
407,0.072353279794225,Brainsmash,203
408,0.02204854438060926,Breakspear,204
409,0.050663334628732466,Brainsmash,204
410,-0.06177062934822424,Breakspear,205
411,-0.05198282669209716,Brainsmash,205
412,0.41919545519254164,Breakspear,206
413,0.039662546059093626,Brainsmash,206
414,-0.12716187092066944,Breakspear,207
415,-0.013945786039132527,Brainsmash,207
416,0.5162957668063164,Breakspear,208
417,-0.0731874573084189,Brainsmash,208
418,0.13922718179967258,Breakspear,209
419,-0.17603672543285298,Brainsmash,209
420,0.19190343559586057,Breakspear,210
421,-0.010385040814795092,Brainsmash,210
422,-0.1413395898616912,Breakspear,211
423,0.048066353967822,Brainsmash,211
424,-0.1195271265724825,Breakspear,212
425,-0.011025251807668867,Brainsmash,212
426,-0.04619153747769361,Breakspear,213
427,-0.0034354073711100643,Brainsmash,213
428,-0.0454722771399131,Breakspear,214
429,0.047660438532698225,Brainsmash,214
430,0.13957441010857002,Breakspear,215
431,0.08787120693731319,Brainsmash,215
432,-0.14659613027038224,Breakspear,216
433,-0.05715173538010221,Brainsmash,216
434,0.057635547397397305,Breakspear,217
435,0.0696471087891578,Brainsmash,217
436,0.015403497912757412,Breakspear,218
437,-0.05664528979446256,Brainsmash,218
438,-0.15730263509407588,Breakspear,219
439,0.045490357965430585,Brainsmash,219
440,-0.15603139568447005,Breakspear,220
441,-0.09763258883915679,Brainsmash,220
442,0.4084189313368637,Breakspear,221
443,-0.07487207941503926,Brainsmash,221
444,-0.1443003576457572,Breakspear,222
445,-0.0447314030530936,Brainsmash,222
446,0.15726146404405697,Breakspear,223
447,-0.07785002125265025,Brainsmash,223
448,0.12232664516428637,Breakspear,224
449,0.017836247437852733,Brainsmash,224
450,0.15154617675162926,Breakspear,225
451,-0.027640309872726674,Brainsmash,225
452,-0.09000181019981825,Breakspear,226
453,0.07057701082869246,Brainsmash,226
454,-0.13289359393189146,Breakspear,227
455,0.07193981712573481,Brainsmash,227
456,0.24312584049195907,Breakspear,228
457,0.0658095141342152,Brainsmash,228
458,0.10431770376068968,Breakspear,229
459,0.00023859899473266174,Brainsmash,229
460,-0.12925103101338775,Breakspear,230
461,0.013324623401973282,Brainsmash,230
462,-0.14928605601740744,Breakspear,231
463,-0.04170902461675063,Brainsmash,231
464,-0.0778491506844704,Breakspear,232
465,0.05547027631572025,Brainsmash,232
466,0.38391709345376906,Breakspear,233
467,0.13024032697860763,Brainsmash,233
468,0.09548940382931462,Breakspear,234
469,0.034039282520906836,Brainsmash,234
470,0.014661759978541277,Breakspear,235
471,0.013963109703850526,Brainsmash,235
472,-0.1691347631506838,Breakspear,236
473,-0.02957265809542798,Brainsmash,236
474,-0.1003942583277299,Breakspear,237
475,-0.012379232369417634,Brainsmash,237
476,-0.15046569880441457,Breakspear,238
477,0.08016408414980138,Brainsmash,238
478,-0.14318481954000103,Breakspear,239
479,-0.007440774302597962,Brainsmash,239
480,0.12487456078768325,Breakspear,240
481,-0.05998800809609537,Brainsmash,240
482,0.10328547765636058,Breakspear,241
483,0.1058214893432771,Brainsmash,241
484,0.029581632610134002,Breakspear,242
485,0.051057884290977844,Brainsmash,242
486,0.20447940958138372,Breakspear,243
487,-0.01044026402513642,Brainsmash,243
488,0.0006964871287652369,Breakspear,244
489,0.060448806900443956,Brainsmash,244
490,0.0019609056538399455,Breakspear,245
491,-0.08822954752522306,Brainsmash,245
492,0.23713273160380444,Breakspear,246
493,0.02038947461438308,Brainsmash,246
494,-0.03564717164277374,Breakspear,247
495,0.11805237929550619,Brainsmash,247
496,-0.08715768086512232,Breakspear,248
497,-0.044231416606350354,Brainsmash,248
498,-0.09680505727435175,Breakspear,249
499,-0.08606974269010169,Brainsmash,249
500,-0.019714904529792777,Breakspear,250
501,0.03746143175702465,Brainsmash,250
502,-0.023787579348221694,Breakspear,251
503,-0.08040121424348118,Brainsmash,251
504,-0.12095213544297452,Breakspear,252
505,0.12811525340086455,Brainsmash,252
506,-0.12325548243168126,Breakspear,253
507,0.12013119850723447,Brainsmash,253
508,-0.05203927838263839,Breakspear,254
509,0.043513167303191665,Brainsmash,254
510,-0.06606617921977488,Breakspear,255
511,0.014831194328099323,Brainsmash,255
512,-0.12966068962496893,Breakspear,256
513,0.030330160204664714,Brainsmash,256
514,0.018388353219349837,Breakspear,257
515,-0.13561895537851998,Brainsmash,257
516,-0.14141115389464096,Breakspear,258
517,0.06516905759116556,Brainsmash,258
518,-0.055325849925327325,Breakspear,259
519,-0.034135150648523266,Brainsmash,259
520,0.0895541335747938,Breakspear,260
521,-0.08580486322023609,Brainsmash,260
522,-0.0460698842592655,Breakspear,261
523,0.0013946195153030523,Brainsmash,261
524,-0.020657232578400315,Breakspear,262
525,-0.043303192928860264,Brainsmash,262
526,-0.12857032097929874,Breakspear,263
527,-0.00887494440470137,Brainsmash,263
528,0.03571656791727221,Breakspear,264
529,0.16954283574173257,Brainsmash,264
530,-0.035041184553515015,Breakspear,265
531,0.07926881296126509,Brainsmash,265
532,-0.05165941582678235,Breakspear,266
533,0.0016585465788591265,Brainsmash,266
534,-0.01008000817368418,Breakspear,267
535,-0.04390956986687373,Brainsmash,267
536,0.158054335684119,Breakspear,268
537,-0.07406338032123005,Brainsmash,268
538,0.3044000741020359,Breakspear,269
539,-0.16059708426751979,Brainsmash,269
540,0.017898227032768464,Breakspear,270
541,0.08028584845383174,Brainsmash,270
542,-0.16274254043984998,Breakspear,271
543,-0.08065902704001035,Brainsmash,271
544,-0.0034810749695374644,Breakspear,272
545,0.062036655376501895,Brainsmash,272
546,-0.14524144862809713,Breakspear,273
547,0.015044089674314174,Brainsmash,273
548,-0.1072350607607902,Breakspear,274
549,0.0036966487337046984,Brainsmash,274
550,-0.151492499974659,Breakspear,275
551,0.029235550869564426,Brainsmash,275
552,-0.05455418892100844,Breakspear,276
553,0.03867888780746429,Brainsmash,276
554,-0.17492904461806755,Breakspear,277
555,-0.01613994411105017,Brainsmash,277
556,-0.04984026603816784,Breakspear,278
557,-0.02772022351166701,Brainsmash,278
558,-0.1086034731786057,Breakspear,279
559,0.01594277818507711,Brainsmash,279
560,-0.1439636979879456,Breakspear,280
561,-0.08424168920273845,Brainsmash,280
562,0.293358488508781,Breakspear,281
563,0.09988955173204818,Brainsmash,281
564,-0.10227792870385004,Breakspear,282
565,-0.07454835727477115,Brainsmash,282
566,0.13506485632743911,Breakspear,283
567,-0.0007614271743809819,Brainsmash,283
568,-0.002116399523966083,Breakspear,284
569,-0.02043095323557237,Brainsmash,284
570,-0.09821829348404441,Breakspear,285
571,0.008535058613741283,Brainsmash,285
572,-0.1439207326107848,Breakspear,286
573,0.03684627451394344,Brainsmash,286
574,-0.09834949456871156,Breakspear,287
575,0.1398131859467636,Brainsmash,287
576,-0.16902458383349242,Breakspear,288
577,0.13503628963016126,Brainsmash,288
578,-0.01396645820153689,Breakspear,289
579,0.015153676806086529,Brainsmash,289
580,0.4158446151221684,Breakspear,290
581,0.1606447526165774,Brainsmash,290
582,-0.06675305587905674,Breakspear,291
583,-0.0211464764997231,Brainsmash,291
584,-0.14201014542602594,Breakspear,292
585,0.12337107874315914,Brainsmash,292
586,-0.1459275127458357,Breakspear,293
587,0.1575584744257803,Brainsmash,293
588,0.04501426029058967,Breakspear,294
589,-0.040439302752989376,Brainsmash,294
590,0.21246222087376465,Breakspear,295
591,-0.02544185413796577,Brainsmash,295
592,-0.1556875359366901,Breakspear,296
593,-0.06193268526853373,Brainsmash,296
594,0.25637253449642317,Breakspear,297
595,-0.0791589237792121,Brainsmash,297
596,0.12527894265010203,Breakspear,298
597,0.06483407577391123,Brainsmash,298
598,-0.047394992127522816,Breakspear,299
599,-0.07104127234564708,Brainsmash,299
600,-0.13101087494398436,Breakspear,300
601,-0.04558597028839919,Brainsmash,300
602,0.20388160655755155,Breakspear,301
603,0.1257523967447135,Brainsmash,301
604,0.16171031489263182,Breakspear,302
605,0.061670451714528146,Brainsmash,302
606,0.42743845241482326,Breakspear,303
607,-0.058284347320450514,Brainsmash,303
608,-0.1494362418446591,Breakspear,304
609,-0.04676359164665896,Brainsmash,304
610,-0.05214104554366387,Breakspear,305
