"Age","SmoothedValue","ModeName"
17.1919191919192,71.8291755550315,"Mode1"
17.3232323232323,71.904061973682,"Mode1"
17.4545454545455,71.9632865433592,"Mode1"
17.5858585858586,72.0070498732017,"Mode1"
17.7171717171717,72.0355525723481,"Mode1"
17.8484848484849,72.0489952499369,"Mode1"
17.979797979798,72.0475785151068,"Mode1"
18.1111111111111,72.0315674690441,"Mode1"
18.2424242424242,72.0016390704912,"Mode1"
18.3737373737374,71.9586322593446,"Mode1"
18.5050505050505,71.9033863631313,"Mode1"
18.6363636363636,71.8367407093783,"Mode1"
18.7676767676768,71.7595346256128,"Mode1"
18.8989898989899,71.6726074393617,"Mode1"
19.030303030303,71.576797865482,"Mode1"
19.1616161616162,71.4728541251812,"Mode1"
19.2929292929293,71.3613391182945,"Mode1"
19.4242424242424,71.2427930531699,"Mode1"
19.5555555555556,71.1177561381557,"Mode1"
19.6868686868687,70.9867685816002,"Mode1"
19.8181818181818,70.8503705918514,"Mode1"
19.9494949494949,70.7091023772577,"Mode1"
20.0808080808081,70.5635041887534,"Mode1"
20.2121212121212,70.4141168772217,"Mode1"
20.3434343434343,70.2614817370405,"Mode1"
20.4747474747475,70.1061400729846,"Mode1"
20.6060606060606,69.9486331898292,"Mode1"
20.7373737373737,69.7895023923489,"Mode1"
20.8686868686869,69.6292889853189,"Mode1"
21,69.4685342735139,"Mode1"
8,55.4657397356509,"Mode2"
8.13131313131313,55.0463760798153,"Mode2"
8.26262626262626,54.637889699902,"Mode2"
8.39393939393939,54.2511578718326,"Mode2"
8.52525252525253,53.8970578715297,"Mode2"
8.65656565656566,53.5864669749151,"Mode2"
8.78787878787879,53.3302624579111,"Mode2"
8.91919191919192,53.1393215964396,"Mode2"
9.05050505050505,53.0243317933393,"Mode2"
9.18181818181818,52.9878812251905,"Mode2"
9.31313131313131,53.0216016321529,"Mode2"
9.44444444444444,53.1163470342351,"Mode2"
9.57575757575758,53.2629714514459,"Mode2"
9.70707070707071,53.4523289037942,"Mode2"
9.83838383838384,53.6752734112885,"Mode2"
9.96969696969697,53.9226589939376,"Mode2"
10.1010101010101,54.1853173239101,"Mode2"
10.2323232323232,54.4538975585641,"Mode2"
10.3636363636364,54.7189597320715,"Mode2"
10.4949494949495,54.971063275212,"Mode2"
10.6262626262626,55.2007676187659,"Mode2"
10.7575757575758,55.398632193513,"Mode2"
10.8888888888889,55.5552164302336,"Mode2"
11.020202020202,55.6610899033263,"Mode2"
11.1515151515152,55.7110609519736,"Mode2"
11.2828282828283,55.7107155105294,"Mode2"
11.4141414141414,55.6673271579556,"Mode2"
11.5454545454545,55.5881694732149,"Mode2"
11.6767676767677,55.4805160352694,"Mode2"
11.8080808080808,55.3516404230816,"Mode2"
11.9393939393939,55.2088162156136,"Mode2"
