,varimax_satisf,varimax_cog,varimax_er,CAPE42,SDQ,ESPAD,AUDIT,ocdband,dcgena,depband,eatband,spphband,ptsdband
ST_FO,0.5472966947857968,0.4881401790008096,0.07693434080131209,2.7689749752106816,8.352532256808246,7.832492834182949,12.98211802120243,31.01402994227698,-9.781514340585804,12.619387402899543,-17.56761877907612,-0.4586645119826015,-14.536131678023798
ST_PREF,0.053139330870117546,-3.3065305149522506,0.3941509127635604,2.7572665598322654,-9.972146729082672,22.511253036230006,10.930224214604161,3.0696072943663433,-4.93485847063187,6.401236558124564,-19.525473671872053,-21.469647218458274,-31.269136569249987
ST_PREM,-2.1603686750641655,-0.23590638210311218,0.4862946676298523,-11.453701366723957,0.9938632849873752,-5.321578212571346,-6.605334429785345,19.78126582353108,-4.774091998879972,-0.20519518655842228,5.620074929900499,-6.601820267741568,-5.936954553285599
ST_PREC,1.1011759911366268,-3.9527589517129242,-0.8524744350043457,-12.394711309380991,-3.1591542913748496,-2.5998230494712464,-5.221695643965984,-8.102660976313707,-4.8373939535588555,-8.610128722720184,-3.7323476445727515,4.202474616979651,2.8006518118980948
ST_POSTC,2.4877423182225837,-2.388445158738034,-0.9109930922330662,20.753770135093855,-5.125992935312186,16.786677484645462,5.733428102430153,-8.49594039877858,-16.220545840060584,15.483155297838216,-28.187801755015126,-3.2628491073477313,21.836824938680117
ST_PAR,0.5685392769757679,0.8619377816234958,-0.6326140226262082,8.892801785052079,0.1269749522281749,7.165105024336439,0.3407756632853566,3.9403728247766416,-1.4929826373332342,-3.893570621764778,24.357490434193252,3.623666460940125,-15.684743468851927
ST_OCC,-0.4246237507617921,1.5419566642633262,0.10834474873154615,-0.8365448153624251,3.924115270175452,26.835530207180245,-6.226057515310053,-32.69177267245976,-18.19057420593111,-12.767055153965535,-15.353821591278034,-8.474818542818795,5.127946412999215
CA,-3.375405413186147,-0.520349432572318,-1.0956107784257314,18.78235037925227,4.4090551295378715,31.350263665283762,-10.669789742135654,3.0830867378050044,0.23659860787515527,8.945459714478517,-19.148740095306092,-23.91888543301561,9.22587254121296
CC_1,0.21241823073900068,0.01396641503701903,-0.025970904381639605,-6.523088577690251,-11.689216554789764,-4.890144986682694,1.813259734686095,-2.5880980411648355,-0.2550199799309356,6.1588067490676615,-0.5303399617251415,13.249693409761758,3.443768395032844
CC_2,2.5449209389964795,-1.797841386871336,1.7019902012855896,13.933745970292925,-3.6697150718722886,9.295786375135073,8.912345097660925,-8.729110227259326,-13.001886824299788,25.194543686133937,-19.805544360881658,-20.39910453795102,-7.790241388358164
