,sub_name,fiber,exp_name,dataset_name,Reconstruction accuracy (r)
155,136227,AF,HCP1200,HCP,0.8822737714345308
156,136631,AF,HCP1200,HCP,0.8680634641685597
157,136732,AF,HCP1200,HCP,0.8818434428525191
158,136833,AF,HCP1200,HCP,0.8779970071675061
159,137027,AF,HCP1200,HCP,0.8899981154446834
160,137128,AF,HCP1200,HCP,0.8717696547137395
161,137229,AF,HCP1200,HCP,0.8867089487952194
162,137532,AF,HCP1200,HCP,0.8810188528078717
163,137633,AF,HCP1200,HCP,0.8715837282809411
164,137936,AF,HCP1200,HCP,0.8499781357327229
165,138130,AF,HCP1200,HCP,0.8725274374911773
166,138231,AF,HCP1200,HCP,0.8500099259264783
167,138332,AF,HCP1200,HCP,0.8964257109581412
168,138534,AF,HCP1200,HCP,0.8828772354621829
169,138837,AF,HCP1200,HCP,0.8690596656754105
170,139233,AF,HCP1200,HCP,0.8650041521558259
171,139435,AF,HCP1200,HCP,0.8488343678724343
172,139637,AF,HCP1200,HCP,0.8536886051907999
173,139839,AF,HCP1200,HCP,0.8837332165350085
174,140117,AF,HCP1200,HCP,0.8886085056650527
175,140824,AF,HCP1200,HCP,0.8620933865478285
176,140925,AF,HCP1200,HCP,0.8376617750509835
177,141119,AF,HCP1200,HCP,0.8780947719160072
178,141422,AF,HCP1200,HCP,0.8655327292721338
179,141826,AF,HCP1200,HCP,0.8823397926186507
180,142828,AF,HCP1200,HCP,0.87499270217041
181,143224,AF,HCP1200,HCP,0.8624328783111431
182,143325,AF,HCP1200,HCP,0.8765746932281314
183,143830,AF,HCP1200,HCP,0.8912568883350025
184,144125,AF,HCP1200,HCP,0.8826141896617175
185,144428,AF,HCP1200,HCP,0.8859387329501284
186,144832,AF,HCP1200,HCP,0.8567972932701273
187,144933,AF,HCP1200,HCP,0.8781398603391781
188,145127,AF,HCP1200,HCP,0.8531711530608717
189,145632,AF,HCP1200,HCP,0.8819326215778084
190,145834,AF,HCP1200,HCP,0.8696978861987666
191,146129,AF,HCP1200,HCP,0.8553911765188421
192,146331,AF,HCP1200,HCP,0.8712943358479381
193,146432,AF,HCP1200,HCP,0.8661675126633842
194,146533,AF,HCP1200,HCP,0.8655323532548629
195,146735,AF,HCP1200,HCP,0.8675561135256667
196,146836,AF,HCP1200,HCP,0.8857530302455966
197,146937,AF,HCP1200,HCP,0.8485888761405558
198,147636,AF,HCP1200,HCP,0.8629257285659278
199,147737,AF,HCP1200,HCP,0.8732232794864359
200,148032,AF,HCP1200,HCP,0.8733608492069076
201,148133,AF,HCP1200,HCP,0.8723866447929268
202,148335,AF,HCP1200,HCP,0.8788581507287098
203,148436,AF,HCP1200,HCP,0.8677739828146809
204,148840,AF,HCP1200,HCP,0.8873945560154429
205,148941,AF,HCP1200,HCP,0.8819144605926346
206,149236,AF,HCP1200,HCP,0.8415226643013222
207,149337,AF,HCP1200,HCP,0.888598145964265
208,149539,AF,HCP1200,HCP,0.8757032913301364
209,149741,AF,HCP1200,HCP,0.8754902775378861
210,149842,AF,HCP1200,HCP,0.8757882413750102
211,150625,AF,HCP1200,HCP,0.8857388344936821
212,150726,AF,HCP1200,HCP,0.846564798445405
213,150928,AF,HCP1200,HCP,0.8869065989142609
214,151223,AF,HCP1200,HCP,0.8809087124535072
215,151324,AF,HCP1200,HCP,0.8378662499168636
216,151425,AF,HCP1200,HCP,0.8730916949536125
217,151526,AF,HCP1200,HCP,0.8622151000076084
218,151627,AF,HCP1200,HCP,0.873842978928444
219,151728,AF,HCP1200,HCP,0.8548417461015041
220,151829,AF,HCP1200,HCP,0.8530514311196083
221,151930,AF,HCP1200,HCP,0.8915384782127473
222,152225,AF,HCP1200,HCP,0.8791236994681444
223,152427,AF,HCP1200,HCP,0.8898226771190774
224,152831,AF,HCP1200,HCP,0.8388740309084423
