,EMOTION-FACES-SHAPES,GAMBLING-REWARD,LANGUAGE-STORY-MATH,MOTOR-AVG,RELATIONAL-REL,SOCIAL-TOM,WM-2BK
TGC 20,0.06352511405413666,0.26789672318998553,0.24136002454983269,0.1743766972930178,0.2551460138945303,0.2146430682681174,0.09307874889091848
TGC 21,0.07000140729030975,-0.04059440833364759,0.1193111661384384,0.00796387231566101,-0.16650764778465896,0.02267658666273798,-0.03765229645874277
TGC 22,-0.03372414864049492,-0.1406748598789833,-0.16121350896780906,-0.1663763422524239,-0.0955426608257059,-0.09511862654129022,0.10257548647968477
TGC 23,0.05143338278385982,-0.10299723565773289,0.026931811503627234,-0.00862781635163766,-0.22934041875414063,-0.02505730463114509,-0.18966337205122463
TGC 24,-0.06172030895813084,0.07780092307439437,-0.1879183414845391,0.03980788664557191,0.10825466965420512,-0.06771288019931622,0.012202620302370064
TGC 25,0.021892496221990833,-0.1676666555368166,0.06269388813697983,-0.03683693003732995,0.01412803523196502,0.03908147264262382,-0.04945608517475404
TGC 26,0.04032413921706831,-0.1939130080838285,-0.11505278128855435,0.040905559552020944,0.0037238645958640373,0.0017994158698193337,-0.05789573512852771
TGC 27,-0.0665961094246502,-0.2449461646322889,-0.12040685952946929,-0.10992525022672994,-0.31993289840446587,-0.2380777325816826,-0.049405454954296366
TGC 28,-0.03441604225668129,-0.11723033241076439,-0.0623838376627929,-0.03233030223187015,-0.15638680589447623,-0.10462930660176815,-0.11550013154453045
TGC 29,-0.07704722199108989,-0.22753789841490485,-0.12195144638594478,-0.18417906013293273,-0.1877236767956884,-0.08434986837418555,0.0027781361234497266
TGC 30,0.07528371215414124,0.16399252185926538,0.024377927771270555,0.10393087859758127,0.10975932747645474,0.05374959100522295,0.0006406866772122349
TGC 31,0.035361834225174235,-0.20650949032943158,-0.0597439336811938,0.013842069904163212,-0.09624697303665021,-0.04856171868393683,-0.0874584566144045
TGC 32,-0.120674526685668,-0.24501691637577283,-0.0896436576495678,-0.01838697736271184,-0.20519890689729448,-0.18926978751506962,-0.13514768497308127
TGC 33,0.10750002847542953,0.29636151390238213,0.26239556682408455,0.05706816672353826,0.37521606729418827,0.34310548355684006,0.1760670260861788
TGC 34,0.04213397819987268,0.14483740761441666,0.29918144433899396,0.12527108692078312,0.1041376179246614,0.22018333858232397,0.11726335009225143
