interview_age,SmoothedValue,UpperCI,LowerCI,ModeName,Derivative,Curvature
10.81686627,129.5017177,131.848381,127.1550545,Mode3,0.806184485,0.13786359
10.8997006,129.5684975,131.8981906,127.2388044,Mode3,0.806185303,0.137884954
10.98253493,129.6352774,131.948298,127.3222567,Mode3,0.806186154,0.13786359
11.06536926,129.7020573,131.9987095,127.4054051,Mode3,0.806187041,0.103392352
11.14820359,129.7688373,132.0494317,127.4882429,Mode3,0.806187954,0.172313465
11.23103792,129.8356174,132.1004711,127.5707637,Mode3,0.806188903,0.172356192
11.31387226,129.9023975,132.1518343,127.6529608,Mode3,0.806189883,0.137895636
11.39670659,129.9691778,132.2035281,127.7348275,Mode3,0.806190896,0.137868931
11.47954092,130.0359581,132.255559,127.8163572,Mode3,0.80619194,0.137895636
11.56237525,130.1027385,132.3079339,127.8975431,Mode3,0.806193019,0.103419056
11.64520958,130.169519,132.3606595,127.9783786,Mode3,0.806194121,0.172361533
11.72804391,130.2362996,132.4137425,128.0588568,Mode3,0.806195256,0.172350851
11.81087824,130.3030803,132.4671897,128.138971,Mode3,0.806196421,0.137890295
11.89371257,130.3698611,132.5210077,128.2187145,Mode3,0.806197615,0.137895636
11.97654691,130.436642,132.5752033,128.2980807,Mode3,0.806198838,0.137884954
12.05938124,130.503423,132.6297832,128.3770628,Mode3,0.806200093,0.103419056
12.14221557,130.5702041,132.6847539,128.4556543,Mode3,0.806201369,0.172334829
12.2250499,130.6369853,132.740122,128.5338486,Mode3,0.806202676,0.172361533
12.30788423,130.7037666,132.7958939,128.6116393,Mode3,0.806204009,0.137895636
12.39071856,130.770548,132.852076,128.68902,Mode3,0.806205369,0.120649335
12.47355289,130.8373296,132.9086746,128.7659846,Mode3,0.806206753,0.120660016
12.55638723,130.9041112,132.9656957,128.8425268,Mode3,0.80620816,0.155125914
12.63922156,130.970893,133.0231453,128.9186407,Mode3,0.806209594,0.137890295
12.72205589,131.0376749,133.0810293,128.9943205,Mode3,0.806211051,0.155131255
12.80489022,131.1044569,133.1393533,129.0695605,Mode3,0.806212533,0.137911658
