,AF,ATR,CG,CST,MLF,FPT,IFO,ILF,OR,POPT,SLF_I,SLF_II,SLF_III,STR,UF,T_PREF,T_PREM,T_PREC,T_POSTC,T_PAR,T_OCC,ST_FO,ST_PREF,ST_PREM,ST_PREC,ST_POSTC,ST_PAR,ST_OCC,CA,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,pearson r
105014,0.9139622156529491,0.9596802526990423,0.8916326866971142,0.9591180624447715,0.9215675831344312,0.9348828825134692,0.902778108396187,0.9410999028766466,0.9231335696985391,0.937392805287457,0.9370712058108711,0.9298918986473192,0.9196852381324792,0.9411573113026287,0.8845234254630896,0.9374711619915491,0.9496168081303145,0.9521398966823983,0.9645384155869625,0.919136128536027,0.9230313995297056,0.9539660320443043,0.9273138715251581,0.956146804468863,0.9467973716245938,0.9594448405253958,0.9244198812178857,0.9095515453482648,0.8554935547723875,0.9437573257242962,0.8785347683125534,0.9429461325135902,0.946627998360416,0.944667015842133,0.8716537628630332,0.9247579306749361,0.9193329570928666
105115,0.9135359886514275,0.9561426683966552,0.9008407421511692,0.952588325077556,0.9274416496530348,0.9224689986820287,0.9092795294650371,0.9275590714220021,0.9364827077556204,0.9186602721469298,0.9355690226720731,0.9387274786148575,0.9379010248532268,0.9291220947926736,0.9128282389206365,0.9378893346208554,0.9428333671720155,0.94892280291412,0.9610727907768682,0.9109127237927195,0.9337786028616667,0.953596773252702,0.9303069822581601,0.9356443914330335,0.9414069632870318,0.9619741889114615,0.9284672570127268,0.9224575615910038,0.8798885053250376,0.8794859026069829,0.8751233683327545,0.946598056877954,0.931418950170934,0.9229143096604184,0.8735513509885364,0.8830405058237242,0.9106410967815204
105216,0.9147551385564878,0.963875022713269,0.922089813712982,0.9470976440164808,0.9294042674664987,0.9305628245402654,0.9130464426815607,0.9454410913829511,0.9437046117620776,0.9411436696811608,0.9402220712923606,0.9392012890857264,0.952047317710248,0.9432010203120882,0.88656759315859,0.9382249615552026,0.9519655872630091,0.9438292016046257,0.9609049380271943,0.9315985152191383,0.9453465936209235,0.9520540124781939,0.9283984836482684,0.9546516168760123,0.9492787198072199,0.9583155454624548,0.9383020158543092,0.9292026704138648,0.8594838023858629,0.9394764356339226,0.9134216489713733,0.9402798029575897,0.9313356954035186,0.9321488893946829,0.8692554128226071,0.9408772913756841,0.9212649490820328
105620,0.9167211746560932,0.9617863272636656,0.9202072007164925,0.9500923803350318,0.9224416636693272,0.9137403898665823,0.9154190559402583,0.9375415729357471,0.9376867056363923,0.8990437999817433,0.9110797141572319,0.9274186116062969,0.9381308307719036,0.9443164863047459,0.8808613751964135,0.9273792394397784,0.9403608827465911,0.9425116153789357,0.9637953159899064,0.9138763047413043,0.9371670045717369,0.9436112091840241,0.917829070705155,0.9428045971747583,0.9418104702230659,0.95699387842946,0.9170789576055948,0.9210800636064219,0.865913661608469,0.8973322640103838,0.8699315551147476,0.9276321049774751,0.9412120651984809,0.9343974441906475,0.8412785451552732,0.9238938480914298,0.9131529139185919
105923,0.8995239017353459,0.9511963004122662,0.9114168488458336,0.9545312983206313,0.9363661150832272,0.9192472415553776,0.9321764599832293,0.9480966557706361,0.9477953465640838,0.9198566049067012,0.9046422235669929,0.9238414991807778,0.9409907860516765,0.926872609150827,0.869931063906215,0.919830647780468,0.9288141070076465,0.9510220651663974,0.9536707138356633,0.9191811282418255,0.9490637817672466,0.940048987089108,0.9129064867469023,0.9296703198607169,0.9429180058608182,0.9524836063284758,0.9239797782911661,0.9418896446939491,0.8640960957498418,0.940607275256073,0.8699142268999542,0.9217957263527976,0.9405148715060724,0.9357293806525913,0.8753718751275826,0.931371990386496,0.9184128019573663
106016,0.9114949266160222,0.9679547497613014,0.8944211048267089,0.9542833899842807,0.9233861919125862,0.9391258074097271,0.905992837136227,0.9196508902799251,0.9608121457836541,0.9094736734437792,0.9137882553097688,0.9372617756686422,0.9416803142300869,0.9507055597487684,0.8992790404346509,0.9490062031313863,0.9499263187584512,0.9467374700224505,0.9511281652071533,0.9106637072605459,0.9570603405687742,0.9587366799472272,0.9424673037213788,0.947729746902411,0.9500890510442037,0.9555580643126769,0.925871647724459,0.9312124550592965,0.8574435036361152,0.9505393875882818,0.9339280436250934,0.936342848580186,0.9452427428278342,0.9446546454796841,0.8733249026715394,0.9360126426965031,0.9228973437392352
106319,0.9174809161302804,0.959376925067483,0.9286085632685892,0.9345868708556397,0.9240408405472381,0.9343940335882706,0.9015346620257398,0.9392780670048868,0.9334163676066268,0.9060975955099537,0.9091704303997876,0.9266199212283579,0.9496373568409423,0.9393080638875843,0.8568078533945583,0.9410935390919434,0.9431345108465656,0.9435509353625842,0.9507568334342351,0.9125199508014454,0.9342997156978486,0.9261499188581456,0.9274281315796727,0.944375085034057,0.9499887495405885,0.956821675516154,0.917282445329867,0.9275530674409522,0.8440855656566226,0.9396269801462521,0.9113917485250447,0.9339720037886403,0.9248924497567385,0.9247342969026932,0.8651043320454477,0.9326364822388428,0.9129899870438398
106521,0.9121716710485157,0.9626424839137587,0.9142092072078403,0.9513791078551258,0.9194155451990708,0.9361370672390206,0.9124547069164546,0.9465292376276964,0.951426092870984,0.9176324200793632,0.91949336467155,0.9280678298527616,0.931012608413682,0.9251578771369859,0.8788145423405054,0.9453022041030325,0.9438424906881396,0.9545969104358596,0.955361143910535,0.9137531283749882,0.9525632988185584,0.9201283907364468,0.9344080271062652,0.9416538614623301,0.9577908174624062,0.9548414854030295,0.9227446232079373,0.9448536371347324,0.8704682598955141,0.9131659880809156,0.9225528109749176,0.9344661622468133,0.9466455111770256,0.9496012008817343,0.8728884809253852,0.9560891730106047,0.9287115087351737
106824,0.9183156837517008,0.9691321110438291,0.8805204859086877,0.9613890826044648,0.935235506231042,0.9217222394294089,0.9197753072242627,0.9387899800599836,0.9553828208094023,0.9268189391904248,0.932150441411923,0.9302944558421444,0.9515332997818395,0.9460993354302283,0.8572210466647874,0.9438679895648604,0.9557822019268457,0.9550382364088738,0.9676347432314173,0.9223644596629628,0.9518748042625828,0.9464087277267074,0.9353242736062625,0.9584088754279627,0.9456261742943837,0.9605019943311811,0.929917424183685,0.9315069040870846,0.8431905696087824,0.9286378065202181,0.8740935410510013,0.9368147939990341,0.9405179566682592,0.9478228845980475,0.8783959851417706,0.9005903352369589,0.9223101170458784
107018,0.9102086225368815,0.9615376561179766,0.8973286751340863,0.9412499394526144,0.9327325821762495,0.9419084837134674,0.9145333680206629,0.9401751715083678,0.9424151445629088,0.9249075800696747,0.9208074829572999,0.9193576273082869,0.9379285844636406,0.9267438274263956,0.9011581177571648,0.9391321569792906,0.9260347245569719,0.9416362145676069,0.9472618828038605,0.9306601714577997,0.9442783002650783,0.9508515357510537,0.9386750062820657,0.9391347104099395,0.9473691245403661,0.9529146581070588,0.9331922229539741,0.9340878346690259,0.8654474563072029,0.9071037248403199,0.9166723996825955,0.9251713247647854,0.9359456847833436,0.9352073791409817,0.8763648758716754,0.9406723327114263,0.9107137916219653
